매물ID,제조사,모델,등급,연식,주행km,연료,차체,시도,판매가,잔존율
39723743,현대,싼타페 더 프라임,디젤 2.0 2WD,2016.0,137801.0,디젤,SUV,서울,1099.0,38.7
41727570,현대,더 뉴 그랜저 IG,3.3,2020.0,111122.0,가솔린,대형차,서울,2390.0,55.7
39342767,현대,더 뉴 그랜저 IG,2.5,2021.0,151434.0,가솔린,대형차,서울,1930.0,47.0
41433322,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,2014.0,139556.0,디젤,SUV,서울,850.0,28.7
41625009,현대,그랜저 (GN7),2.5 가솔린 2WD,2023.0,42846.0,가솔린,대형차,서울,2860.0,76.4
40891117,현대,그랜저 (GN7),2.5 가솔린 2WD,2026.0,1900.0,가솔린,대형차,서울,3063.0,65.0
41423063,현대,코나 (SX2),가솔린 1.6 터보 2WD,2023.0,16209.0,가솔린,SUV,서울,2100.0,82.2
41560346,현대,그랜저 HG,HG300 프리미엄,2015.0,71298.0,가솔린,대형차,서울,770.0,23.6
41673808,현대,팰리세이드,가솔린 3.8 4WD,2022.0,78603.0,가솔린,SUV,서울,2770.0,51.1
40996508,현대,싼타페 TM,가솔린 2.0T 4WD,2019.0,82483.0,가솔린,SUV,서울,2299.0,61.8
41451696,현대,팰리세이드,디젤 2.2 2WD,2022.0,86549.0,디젤,SUV,서울,3080.0,64.5
41081381,현대,더 뉴 싼타페,디젤 2.2 2WD,2021.0,78922.0,디젤,SUV,서울,2650.0,66.4
41808519,현대,뉴 투싼 ix,디젤(e-VGT) 4WD,2015.0,147261.0,디젤,SUV,서울,730.0,26.3
41449890,현대,더 뉴 팰리세이드,가솔린 3.8 2WD,2023.0,55376.0,가솔린,SUV,서울,3120.0,70.4
40132018,현대,제네시스 DH,G380 익스클루시브,2016.0,174736.0,가솔린,대형차,서울,970.0,17.8
41361919,현대,벨로스터 (JS),1.6 터보 스포츠,2018.0,57577.0,가솔린,준중형차,서울,1380.0,57.6
41588290,현대,그랜저 HG,HG240 모던,2015.0,107829.0,가솔린,대형차,서울,770.0,25.8
41701744,현대,팰리세이드,가솔린 3.8 2WD,2021.0,39426.0,가솔린,SUV,서울,2750.0,59.5
41025010,현대,더 뉴 그랜저 IG,2.5,2021.0,84692.0,가솔린,대형차,서울,1820.0,54.0
41101844,현대,팰리세이드,가솔린 3.8 2WD,2022.0,44293.0,가솔린,SUV,서울,2790.0,67.8
41740710,현대,더 뉴 그랜저 IG 하이브리드,캘리그래피,2020.0,128856.0,가솔린+전기,대형차,서울,2299.0,48.7
41019477,현대,쏘나타 (DN8),2.0,2020.0,63246.0,가솔린,중형차,서울,1530.0,65.2
